article_code,title,abstract,chemicals,diseases,chemical_start_indices,chemical_end_indices,disease_start_indices,disease_end_indices,chemical_ids,disease_ids,CID_chemical,CID_disease
227508,Naloxone reverses the antihypertensive effect of clonidine.,"In unanesthetized, spontaneously hypertensive rats the decrease in blood pressure and heart rate produced by intravenous clonidine, 5 to 20 micrograms/kg, was inhibited or reversed by nalozone, 0.2 to 2 mg/kg. The hypotensive effect of 100 mg/kg alpha-methyldopa was also partially reversed by naloxone. Naloxone alone did not affect either blood pressure or heart rate. In brain membranes from spontaneously hypertensive rats clonidine, 10(-8) to 10(-5) M, did not influence stereoselective binding of [3H]-naloxone (8 nM), and naloxone, 10(-8) to 10(-4) M, did not influence clonidine-suppressible binding of [3H]-dihydroergocryptine (1 nM). These findings indicate that in spontaneously hypertensive rats the effects of central alpha-adrenoceptor stimulation involve activation of opiate receptors. As naloxone and clonidine do not appear to interact with the same receptor site, the observed functional antagonism suggests the release of an endogenous opiate by clonidine or alpha-methyldopa and the possible role of the opiate in the central control of sympathetic tone.","['Naloxone', 'clonidine', 'clonidine', 'nalozone', 'alpha-methyldopa', 'naloxone', 'Naloxone', 'clonidine', '3H-naloxone', 'naloxone', 'clonidine', '3H-dihydroergocryptine', 'naloxone', 'clonidine', 'clonidine', 'alpha-methyldopa']","['hypertensive', 'hypotensive', 'hypertensive', 'hypertensive']","['0', '49', '181', '244', '306', '354', '364', '487', '563', '589', '637', '671', '865', '878', '1026', '1039']","['8', '58', '190', '252', '322', '362', '372', '496', '576', '597', '646', '695', '873', '887', '1035', '1055']","['93', '274', '469', '750']","['105', '285', '481', '762']","['D009270', 'D003000', 'D003000', '-1', 'D008750', 'D009270', 'D009270', 'D003000', '-1', 'D009270', 'D003000', '-1', 'D009270', 'D003000', 'D003000', 'D008750']","['D006973', 'D007022', 'D006973', 'D006973']",['D008750'],['D007022']
354896,Lidocaine-induced cardiac asystole.,"Intravenous administration of a single 50-mg bolus of lidocaine in a 67-year-old man resulted in profound depression of the activity of the sinoatrial and atrioventricular nodal pacemakers. The patient had no apparent associated conditions which might have predisposed him to the development of bradyarrhythmias; and, thus, this probably represented a true idiosyncrasy to lidocaine.","['Lidocaine', 'lidocaine', 'lidocaine']","['cardiac asystole', 'depression', 'bradyarrhythmias']","['0', '90', '409']","['9', '99', '418']","['18', '142', '331']","['34', '152', '347']","['D008012', 'D008012', 'D008012']","['D006323', 'D003866', 'D001919']",['D008012'],['D006323']
435349,Suxamethonium infusion rate and observed fasciculations. A dose-response study.,"Suxamethonium chloride (Sch) was administered i.v. to 36 adult males at six rates: 0.25 mg s-1 to 20 mg s-1. The infusion was discontinued either when there was no muscular response to tetanic stimulation of the ulnar nerve or when Sch 120 mg was exceeded. Six additional patients received a 30-mg i.v. bolus dose. Fasciculations in six areas of the body were scored from 0 to 3 and summated as a total fasciculation score. The times to first fasciculation, twitch suppression and tetanus suppression were inversely related to the infusion rates. Fasciculations in the six areas and the total fasciculation score were related directly to the rate of infusion. Total fasciculation scores in the 30-mg bolus group and the 5-mg s-1 and 20-mg s-1 infusion groups were not significantly different.","['Suxamethonium', 'Suxamethonium chloride', 'Sch', 'Sch']","['fasciculations', 'tetanic', 'Fasciculations', 'fasciculation', 'fasciculation', 'twitch', 'tetanus', 'Fasciculations', 'fasciculation', 'fasciculation']","['0', '80', '104', '312']","['13', '102', '107', '315']","['41', '265', '395', '483', '523', '538', '561', '627', '673', '746']","['55', '272', '409', '496', '536', '544', '568', '641', '686', '759']","['D013390', 'D013390', 'D013390', 'D013390']","['D005207', 'D013746', 'D005207', 'D005207', 'D005207', 'D013746', 'D013746', 'D005207', 'D005207', 'D005207']",['D013390'],['D005207']
603022,"Galanthamine hydrobromide, a longer acting anticholinesterase drug, in the treatment of the central effects of scopolamine (Hyoscine).","Galanthamine hydrobromide, an anticholinesterase drug capable of penetrating the blood-brain barrier, was used in a patient demonstrating central effects of scopolamine (hyoscine) overdosage. It is longer acting than physostigmine and is used in anaesthesia to reverse the non-depolarizing neuromuscular block. However, studies into the dose necessary to combating scopolamine intoxication are indicated.","['Galanthamine hydrobromide', 'scopolamine', 'Hyoscine', 'Galanthamine hydrobromide', 'scopolamine', 'hyoscine', 'physostigmine', 'scopolamine']",['overdosage'],"['0', '111', '124', '135', '292', '305', '352', '500']","['25', '122', '132', '160', '303', '313', '365', '511']",['315'],['325'],"['D005702', 'D012601', 'D012601', 'D005702', 'D012601', 'D012601', 'D010830', 'D012601']",['D062787'],['D012601'],['D062787']
1378968,Effects of uninephrectomy and high protein feeding on lithium-induced chronic renal failure in rats.,"Rats with lithium-induced nephropathy were subjected to high protein (HP) feeding, uninephrectomy (NX) or a combination of these, in an attempt to induce glomerular hyperfiltration and further progression of renal failure. Newborn female Wistar rats were fed a lithium-containing diet (50 mmol/kg) for 8 weeks and then randomized to normal diet, HP diet (40 vs. 19%), NX or HP+NX for another 8 weeks. Corresponding non-lithium pretreated groups were generated. When comparing all lithium treated versus non-lithium-treated groups, lithium caused a reduction in glomerular filtration rate (GFR) without significant changes in effective renal plasma flow (as determined by a marker secreted into the proximal tubules) or lithium clearance. Consequently, lithium pretreatment caused a fall in filtration fraction and an increase in fractional Li excretion. Lithium also caused proteinuria and systolic hypertension in absence of glomerulosclerosis. HP failed to accentuante progression of renal failure and in fact tended to increase GFR and decrease plasma creatinine levels in lithium pretreated rats. NX caused an additive deterioration in GFR which, however, was ameliorated by HP. NX+HP caused a further rise in blood pressure in Li-pretreated rats. The results indicate that Li-induced nephropathy, even when the GFR is only modestly reduced, is associated with proteinuria and arterial systolic hypertension. In this model of chronic renal failure the decline in GFR is not accompanied by a corresponding fall in effective renal plasma flow, which may be the functional expression of the formation of nonfiltrating atubular glomeruli. The fractional reabsorption of tubular fluid by the proximal tubules is reduced, leaving the distal delivery unchanged.(ABSTRACT TRUNCATED AT 250 WORDS)","['lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'Li', 'Lithium', 'creatinine', 'lithium', 'Li', 'Li']","['chronic renal failure', 'nephropathy', 'renal failure', 'proteinuria', 'hypertension', 'glomerulosclerosis', 'renal failure', 'nephropathy', 'proteinuria', 'hypertension', 'chronic renal failure']","['54', '111', '362', '520', '581', '608', '632', '820', '853', '941', '955', '1156', '1177', '1333', '1379']","['61', '118', '369', '527', '588', '615', '639', '827', '860', '943', '962', '1166', '1184', '1335', '1381']","['70', '127', '309', '975', '1000', '1027', '1087', '1390', '1466', '1500', '1531']","['91', '138', '322', '986', '1012', '1045', '1100', '1401', '1477', '1512', '1552']","['D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D003404', 'D008094', 'D008094', 'D008094']","['D007676', 'D007674', 'D051437', 'D011507', 'D006973', 'D005921', 'D051437', 'D007674', 'D011507', 'D006973', 'D007676']","['D008094', 'D008094', 'D008094']","['D006973', 'D011507', 'D007676']"
1420741,Treatment of Crohn's disease with fusidic acid: an antibiotic with immunosuppressive properties similar to cyclosporin.,"Fusidic acid is an antibiotic with T-cell specific immunosuppressive effects similar to those of cyclosporin. Because of the need for the development of new treatments for Crohn's disease, a pilot study was undertaken to estimate the pharmacodynamics and tolerability of fusidic acid treatment in chronic active, therapy-resistant patients. Eight Crohn's disease patients were included. Fusidic acid was administered orally in a dose of 500 mg t.d.s. and the treatment was planned to last 8 weeks. The disease activity was primarily measured by a modified individual grading score. Five of 8 patients (63%) improved during fusidic acid treatment: 3 at two weeks and 2 after four weeks. There were no serious clinical side effects, but dose reduction was required in two patients because of nausea. Biochemically, an increase in alkaline phosphatases was noted in 5 of 8 cases (63%), and the greatest increases were seen in those who had elevated levels prior to treatment. All reversed to pre-treatment levels after cessation of treatment. The results of this pilot study suggest that fusidic acid may be of benefit in selected chronic active Crohn's disease patients in whom conventional treatment is ineffective. Because there seems to exist a scientific rationale for the use of fusidic acid at the cytokine level in inflammatory bowel disease, we suggest that the role of this treatment should be further investigated.","['fusidic acid', 'cyclosporin', 'cyclosporin', 'fusidic acid', 'Fusidic acid', 'fusidic acid', 'fusidic acid', 'fusidic acid']","[""Crohn's disease"", ""Crohn's disease"", ""Crohn's disease"", 'nausea', ""Crohn's disease"", 'inflammatory bowel disease']","['34', '107', '217', '391', '507', '743', '1205', '1402']","['46', '118', '228', '403', '519', '755', '1217', '1414']","['13', '292', '467', '910', '1263', '1440']","['28', '307', '482', '916', '1278', '1466']","['D005672', 'D016572', 'D016572', 'D005672', 'D005672', 'D005672', 'D005672', 'D005672']","['D003424', 'D003424', 'D003424', 'D009325', 'D003424', 'D015212']",['D005672'],['D009325']
1601297,Electrocardiographic evidence of myocardial injury in psychiatrically hospitalized cocaine abusers.,"The electrocardiograms (ECG) of 99 cocaine-abusing patients were compared with the ECGs of 50 schizophrenic controls. Eleven of the cocaine abusers and none of the controls had ECG evidence of significant myocardial injury defined as myocardial infarction, ischemia, and bundle branch block.","['cocaine', 'cocaine', 'cocaine']","['myocardial injury', 'schizophrenic', 'myocardial injury', 'myocardial infarction', 'ischemia', 'bundle branch block']","['83', '135', '232']","['90', '142', '239']","['33', '194', '305', '334', '357', '371']","['50', '207', '322', '355', '365', '390']","['D003042', 'D003042', 'D003042']","['D009202', 'D012559', 'D009202', 'D009203', 'D007511', 'D002037']","['D003042', 'D003042']","['D009203', 'D002037']"
1967484,Sulpiride-induced tardive dystonia.,"Sulpiride is a selective D2-receptor antagonist with antipsychotic and antidepressant properties. Although initially thought to be free of extrapyramidal side effects, sulpiride-induced tardive dyskinesia and parkinsonism have been reported occasionally. We studied a 37-year-old man who developed persistent segmental dystonia within 2 months after starting sulpiride therapy. We could not find any previous reports of sulpiride-induced tardive dystonia.","['Sulpiride', 'Sulpiride', 'antidepressant', 'sulpiride', 'sulpiride', 'sulpiride']","['tardive dystonia', 'tardive dyskinesia', 'parkinsonism', 'dystonia', 'tardive dystonia']","['0', '36', '107', '204', '395', '456']","['9', '45', '121', '213', '404', '465']","['18', '222', '245', '355', '474']","['34', '240', '257', '363', '490']","['D013469', 'D013469', 'D000928', 'D013469', 'D013469', 'D013469']","['D004421', 'D004409', 'D010302', 'D004421', 'D004421']",['D013469'],['D004421']
2234245,Ocular and auditory toxicity in hemodialyzed patients receiving desferrioxamine.,"During an 18-month period of study 41 hemodialyzed patients receiving desferrioxamine (10-40 mg/kg BW/3 times weekly) for the first time were monitored for detection of audiovisual toxicity. 6 patients presented clinical symptoms of visual or auditory toxicity. Moreover, detailed ophthalmologic and audiologic studies disclosed abnormalities in 7 more asymptomatic patients. Visual toxicity was of retinal origin and was characterized by a tritan-type dyschromatopsy, sometimes associated with a loss of visual acuity and pigmentary retinal deposits. Auditory toxicity was characterized by a mid- to high-frequency neurosensorial hearing loss and the lesion was of the cochlear type. Desferrioxamine withdrawal resulted in a complete recovery of visual function in 1 patient and partial recovery in 3, and a complete reversal of hearing loss in 3 patients and partial recovery in 3. This toxicity appeared in patients receiving the higher doses of desferrioxamine or coincided with the normalization of ferritin or aluminium serum levels. The data indicate that audiovisual toxicity is not an infrequent complication in hemodialyzed patients receiving desferrioxamine. Periodical audiovisual monitoring should be performed on hemodialyzed patients receiving the drug in order to detect adverse effects as early as possible.","['desferrioxamine', 'desferrioxamine', 'Desferrioxamine', 'desferrioxamine', 'aluminium', 'desferrioxamine']","['Ocular and auditory toxicity', 'audiovisual toxicity', 'visual or auditory toxicity', 'Visual toxicity', 'dyschromatopsy', 'a loss of visual acuity', 'pigmentary retinal deposits', 'Auditory toxicity', 'neurosensorial hearing loss', 'hearing loss', 'toxicity', 'audiovisual toxicity']","['64', '151', '766', '1030', '1097', '1234']","['79', '166', '781', '1045', '1106', '1249']","['0', '250', '314', '457', '534', '576', '604', '633', '697', '911', '970', '1144']","['28', '270', '341', '472', '548', '599', '631', '650', '724', '923', '978', '1164']","['D003676', 'D003676', 'D003676', 'D003676', '-1', 'D003676']","['D014786|D006311', 'D014786|D006311', 'D014786|D006311', 'D014786', '-1', 'D014786', 'D012164', 'D006311', 'D006319', 'D034381', 'D064420', 'D014786|D006311']","['D003676', 'D003676', 'D003676']","['D012164', 'D014786', 'D006319']"
2385256,Myasthenia gravis presenting as weakness after magnesium administration.,"We studied a patient with no prior history of neuromuscular disease who became virtually quadriplegic after parenteral magnesium administration for preeclampsia. The serum magnesium concentration was 3.0 mEq/L, which is usually well tolerated. The magnesium was stopped and she recovered over a few days. While she was weak, 2-Hz repetitive stimulation revealed a decrement without significant facilitation at rapid rates or after exercise, suggesting postsynaptic neuromuscular blockade. After her strength returned, repetitive stimulation was normal, but single fiber EMG revealed increased jitter and blocking. Her acetylcholine receptor antibody level was markedly elevated. Although paralysis after magnesium administration has been described in patients with known myasthenia gravis, it has not previously been reported to be the initial or only manifestation of the disease. Patients who are unusually sensitive to the neuromuscular effects of magnesium should be suspected of having an underlying disorder of neuromuscular transmission.","['magnesium', 'magnesium', 'magnesium', 'magnesium', 'acetylcholine', 'magnesium', 'magnesium']","['Myasthenia gravis', 'neuromuscular disease', 'quadriplegic', 'preeclampsia', 'postsynaptic neuromuscular blockade', 'paralysis', 'myasthenia gravis', 'disorder of neuromuscular transmission']","['47', '192', '245', '321', '691', '777', '1024']","['56', '201', '254', '330', '704', '786', '1033']","['0', '119', '162', '221', '525', '761', '844', '1078']","['17', '140', '174', '233', '560', '770', '861', '1116']","['D008274', 'D008274', 'D008274', 'D008274', 'D000109', 'D008274', 'D008274']","['D009157', 'D009468', 'D011782', 'D011225', 'D009468', 'D010243', 'D009157', 'D020511']",['D008274'],['D009157']
