diseases,disease_ids,mapped_disease_ids,mismatched_diseases,actual_disease_names
"['hypertensive', 'hypotensive', 'hypertensive', 'hypertensive']","['D006973', 'D007022', 'D006973', 'D006973']","['-1', '-1', '-1', '-1']","['hypertensive', 'hypotensive', 'hypertensive', 'hypertensive']","[['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['hypotension', 'hypotension', 'blood pressure, low', 'hypotension, vascular', 'low blood pressure', 'vascular hypotension'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures'], ['hypertension', 'hypertension', 'blood pressure, high', 'blood pressures, high', 'high blood pressure', 'high blood pressures']]"
"['cardiac asystole', 'depression', 'bradyarrhythmias']","['D006323', 'D003866', 'D001919']","['-1', 'D003863', 'D001919']",['cardiac asystole'],"[['heart arrest', 'heart arrest', 'arrest, heart', 'asystole', 'asystoles', 'cardiac arrest', 'arrest, cardiac', 'cardiopulmonary arrest', 'arrest, cardiopulmonary']]"
"['fasciculations', 'tetanic', 'fasciculations', 'fasciculation', 'fasciculation', 'twitch', 'tetanus', 'fasciculations', 'fasciculation', 'fasciculation']","['D005207', 'D013746', 'D005207', 'D005207', 'D005207', 'D013746', 'D013746', 'D005207', 'D005207', 'D005207']","['D005207', '-1', 'D005207', 'D005207', 'D005207', '-1', 'D013742', 'D005207', 'D005207', 'D005207']","['tetanic', 'twitch']","[['fasciculation', 'fasciculation', 'fasciculations', 'fasciculation, muscular', 'fasciculations, muscular', 'muscular fasciculation', 'muscular fasciculations', 'fasciculation, benign', 'benign fasciculation', 'benign fasciculations', 'fasciculations, benign', 'fasciculation, skeletal muscle', 'fasciculations, skeletal muscle', 'muscle fasciculation, skeletal', 'muscle fasciculations, skeletal', 'skeletal muscle fasciculation', 'skeletal muscle fasciculations', 'fasciculation, tongue', 'fasciculations, tongue', 'tongue fasciculation', 'tongue fasciculations'], ['tetany', 'tetany', 'tetanies', 'spasmophilia', 'spasmophilias', 'tetany, neonatal', 'neonatal tetanies', 'neonatal tetany', 'tetanies, neonatal', 'tetanilla', 'tetanillas']]"
['overdosage'],['D062787'],['-1'],['overdosage'],"[['drug overdose', 'drug overdose', 'drug overdoses', 'overdose, drug', 'overdoses, drug']]"
"['chronic renal failure', 'nephropathy', 'renal failure', 'proteinuria', 'hypertension', 'glomerulosclerosis', 'renal failure', 'nephropathy', 'proteinuria', 'hypertension', 'chronic renal failure']","['D007676', 'D007674', 'D051437', 'D011507', 'D006973', 'D005921', 'D051437', 'D007674', 'D011507', 'D006973', 'D007676']","['D007676', '-1', 'D051437', 'D011507', 'D006973', '-1', 'D051437', '-1', 'D011507', 'D006973', 'D007676']","['nephropathy', 'glomerulosclerosis', 'nephropathy']","[['kidney failure, chronic', 'kidney failure, chronic', 'renal failure, chronic', 'chronic renal failure', 'end-stage kidney disease', 'disease, end-stage kidney', 'end stage kidney disease', 'kidney disease, end-stage', 'esrd', 'end-stage renal disease', 'disease, end-stage renal', 'end stage renal disease', 'renal disease, end-stage', 'renal disease, end stage', 'renal failure, end-stage', 'end-stage renal failure', 'renal failure, end stage', 'chronic kidney failure'], ['kidney diseases', 'kidney diseases', 'disease, kidney', 'diseases, kidney', 'kidney disease'], ['renal insufficiency', 'renal insufficiency', 'renal insufficiencies', 'kidney insufficiency', 'insufficiency, kidney', 'kidney insufficiencies', 'kidney failure', 'failure, kidney', 'failures, kidney', 'kidney failures', 'renal failure', 'failure, renal', 'failures, renal', 'renal failures']]"
"['myocardial injury', 'schizophrenic', 'myocardial injury', 'myocardial infarction', 'ischemia', 'bundle branch block']","['D009202', 'D012559', 'D009202', 'D009203', 'D007511', 'D002037']","['-1', '-1', '-1', 'D009203', 'D007511', 'D002037']","['myocardial injury', 'schizophrenic', 'myocardial injury']","[['cardiomyopathies', 'cardiomyopathies', 'cardiomyopathy', 'myocardial disease', 'disease, myocardial', 'diseases, myocardial', 'myocardial diseases', 'myocardiopathies', 'myocardiopathy', 'cardiomyopathies, primary', 'cardiomyopathy, primary', 'primary cardiomyopathies', 'primary cardiomyopathy', 'primary myocardial disease', 'disease, primary myocardial', 'diseases, primary myocardial', 'myocardial disease, primary', 'myocardial diseases, primary', 'primary myocardial diseases', 'cardiomyopathies, secondary', 'cardiomyopathy, secondary', 'secondary cardiomyopathies', 'secondary cardiomyopathy', 'myocardial diseases, secondary', 'disease, secondary myocardial', 'diseases, secondary myocardial', 'myocardial disease, secondary', 'secondary myocardial disease', 'secondary myocardial diseases'], ['schizophrenia', 'schizophrenia', 'schizophrenias', 'dementia praecox', 'schizophrenic disorders', 'disorder, schizophrenic', 'disorders, schizophrenic', 'schizophrenic disorder'], ['cardiomyopathies', 'cardiomyopathies', 'cardiomyopathy', 'myocardial disease', 'disease, myocardial', 'diseases, myocardial', 'myocardial diseases', 'myocardiopathies', 'myocardiopathy', 'cardiomyopathies, primary', 'cardiomyopathy, primary', 'primary cardiomyopathies', 'primary cardiomyopathy', 'primary myocardial disease', 'disease, primary myocardial', 'diseases, primary myocardial', 'myocardial disease, primary', 'myocardial diseases, primary', 'primary myocardial diseases', 'cardiomyopathies, secondary', 'cardiomyopathy, secondary', 'secondary cardiomyopathies', 'secondary cardiomyopathy', 'myocardial diseases, secondary', 'disease, secondary myocardial', 'diseases, secondary myocardial', 'myocardial disease, secondary', 'secondary myocardial disease', 'secondary myocardial diseases']]"
"['ocular and auditory toxicity', 'audiovisual toxicity', 'visual or auditory toxicity', 'visual toxicity', 'dyschromatopsy', 'a loss of visual acuity', 'pigmentary retinal deposits', 'auditory toxicity', 'neurosensorial hearing loss', 'hearing loss', 'toxicity', 'audiovisual toxicity']","['D014786|D006311', 'D014786|D006311', 'D014786|D006311', 'D014786', '-1', 'D014786', 'D012164', 'D006311', 'D006319', 'D034381', 'D064420', 'D014786|D006311']","['-1', '-1', '-1', '-1', '-1', '-1', '-1', 'D000081015', '-1', 'D034381', '-1', '-1']","['ocular and auditory toxicity', 'audiovisual toxicity', 'visual or auditory toxicity', 'visual toxicity', 'dyschromatopsy', 'a loss of visual acuity', 'pigmentary retinal deposits', 'neurosensorial hearing loss', 'toxicity', 'audiovisual toxicity']","[['-1'], ['-1'], ['-1'], ['vision disorders', 'vision disorders', 'vision disorder', 'visual disorders', 'disorders, visual', 'disorder, visual', 'visual disorder', 'macropsia', 'macropsias', 'hemeralopia', 'hemeralopias', 'day blindness', 'blindness, day', 'micropsia', 'micropsias', 'vision disability', 'disabilities, vision', 'disability, vision', 'vision disabilities', 'visual impairment', 'impairments, visual', 'impairment, visual', 'visual impairments', 'metamorphopsia', 'metamorphopsias'], ['-1'], ['vision disorders', 'vision disorders', 'vision disorder', 'visual disorders', 'disorders, visual', 'disorder, visual', 'visual disorder', 'macropsia', 'macropsias', 'hemeralopia', 'hemeralopias', 'day blindness', 'blindness, day', 'micropsia', 'micropsias', 'vision disability', 'disabilities, vision', 'disability, vision', 'vision disabilities', 'visual impairment', 'impairments, visual', 'impairment, visual', 'visual impairments', 'metamorphopsia', 'metamorphopsias'], ['retinal diseases', 'retinal diseases', 'disease, retinal', 'diseases, retinal', 'retinal disease'], ['hearing disorders', 'hearing disorders', 'hearing disorder', 'distorted hearing', 'hearing, distorted', 'dysacusis', 'paracousis', 'paracusis'], ['hearing loss, sensorineural', 'hearing loss, sensorineural', 'neurosensory deafness', 'deafnesses, neurosensory', 'neurosensory deafnesses', 'sensoryneural deafness', 'deafnesses, sensoryneural', 'sensoryneural deafnesses', 'deafness, sensoryneural', 'sensoryneural deafness', 'deafness, neurosensory', 'deafness neurosensory', 'sensorineural hearing loss', 'hearing loss, cochlear', 'cochlear hearing loss'], ['hearing loss', 'hearing loss', 'loss, hearing', 'hearing impairment', 'hypoacusis', 'hypoacuses', 'deafness, transitory', 'deafnesses, transitory', 'transitory deafness', 'transitory deafnesses', 'hearing loss, transitory', 'loss, transitory hearing', 'transitory hearing losses', 'transitory hearing loss']]"
"['myasthenia gravis', 'neuromuscular disease', 'quadriplegic', 'preeclampsia', 'postsynaptic neuromuscular blockade', 'paralysis', 'myasthenia gravis', 'disorder of neuromuscular transmission']","['D009157', 'D009468', 'D011782', 'D011225', 'D009468', 'D010243', 'D009157', 'D020511']","['D009157', 'D009468', '-1', 'D011225', '-1', 'D010243', 'D009157', '-1']","['quadriplegic', 'postsynaptic neuromuscular blockade', 'disorder of neuromuscular transmission']","[['myasthenia gravis', 'myasthenia gravis', 'myasthenia gravis, generalized', 'generalized myasthenia gravis', 'myasthenia gravis, ocular', 'ocular myasthenia gravis', 'muscle-specific receptor tyrosine kinase myasthenia gravis', 'muscle specific receptor tyrosine kinase myasthenia gravis', 'musk myasthenia gravis', 'myasthenia gravis, musk', 'anti-musk myasthenia gravis', 'anti musk myasthenia gravis', 'myasthenia gravis, anti-musk', 'musk mg', 'muscle-specific tyrosine kinase antibody positive myasthenia gravis', 'muscle specific tyrosine kinase antibody positive myasthenia gravis'], ['neuromuscular diseases', 'neuromuscular diseases', 'neuromuscular disease', 'oppenheim disease', 'amyotonia congenita', ""oppenheim's disease"", 'oppenheims disease', 'foley-denny-brown syndrome', 'foley denny brown syndrome', 'syndrome, foley-denny-brown', 'cramp-fasciculation syndrome', 'cramp fasciculation syndrome', 'cramp-fasciculation syndromes', 'syndrome, cramp-fasciculation', 'syndromes, cramp-fasciculation', 'fasciculation-cramp syndrome, benign', 'benign fasciculation-cramp syndrome', 'benign fasciculation-cramp syndromes', 'fasciculation cramp syndrome, benign', 'fasciculation-cramp syndromes, benign'], ['quadriplegia', 'quadriplegia', 'quadriplegias', 'tetraplegia', 'tetraplegias', 'quadriparesis', 'quadripareses', 'spastic quadriplegia', 'quadriplegia, spastic', 'quadriplegias, spastic', 'spastic quadriplegias', 'spastic tetraplegia', 'spastic tetraplegias', 'tetraplegia, spastic', 'tetraplegias, spastic', 'flaccid quadriplegia', 'flaccid quadriplegias', 'quadriplegia, flaccid', 'quadriplegias, flaccid', 'flaccid tetraplegia', 'flaccid tetraplegias', 'tetraplegia, flaccid', 'tetraplegias, flaccid', 'paralysis, spinal, quadriplegic']]"
"['hemorrhagic cystitis', 'bladder damage']","['D006470|D003556', 'D001745']","['D000096722', '-1']",['bladder damage'],[['-1']]
"['hepatitis', 'hepatitis', 'extensive hepatocellular necrosis', 'hepatitis', 'hepatitis', 'hepatotoxicity']","['D056486', 'D056486', 'D047508', 'D056486', 'D056486', 'D056486']","['D006505', 'D006505', '-1', 'D006505', 'D006505', '-1']","['extensive hepatocellular necrosis', 'hepatotoxicity']","[['chemical and drug induced liver injury', 'chemical and drug induced liver injury', 'hepatitis, toxic', 'toxic hepatitis', 'hepatitides, toxic', 'toxic hepatitides', 'hepatitis, drug-induced', 'drug-induced hepatitides', 'drug-induced hepatitis', 'hepatitides, drug-induced', 'hepatitis, drug induced', 'drug-induced acute liver injury', 'drug induced acute liver injury', 'acute liver injury, drug-induced', 'acute liver injury, drug induced', 'liver injury, drug-induced, acute', 'drug-induced liver disease', 'disease, drug-induced liver', 'diseases, drug-induced liver', 'drug induced liver disease', 'drug-induced liver diseases', 'liver disease, drug-induced', 'liver diseases, drug-induced', 'drug-induced liver injury', 'drug-induced liver injuries', 'drug induced liver injury', 'injuries, drug-induced liver', 'injury, drug-induced liver', 'liver injuries, drug-induced', 'liver injury, drug-induced', 'liver injury, drug induced', 'chemically-induced liver toxicity', 'chemically-induced liver toxicities', 'chemically induced liver toxicity', 'liver toxicities, chemically-induced', 'liver toxicity, chemically-induced', 'toxicities, chemically-induced liver', 'toxicity, chemically-induced liver'], ['chemical and drug induced liver injury', 'chemical and drug induced liver injury', 'hepatitis, toxic', 'toxic hepatitis', 'hepatitides, toxic', 'toxic hepatitides', 'hepatitis, drug-induced', 'drug-induced hepatitides', 'drug-induced hepatitis', 'hepatitides, drug-induced', 'hepatitis, drug induced', 'drug-induced acute liver injury', 'drug induced acute liver injury', 'acute liver injury, drug-induced', 'acute liver injury, drug induced', 'liver injury, drug-induced, acute', 'drug-induced liver disease', 'disease, drug-induced liver', 'diseases, drug-induced liver', 'drug induced liver disease', 'drug-induced liver diseases', 'liver disease, drug-induced', 'liver diseases, drug-induced', 'drug-induced liver injury', 'drug-induced liver injuries', 'drug induced liver injury', 'injuries, drug-induced liver', 'injury, drug-induced liver', 'liver injuries, drug-induced', 'liver injury, drug-induced', 'liver injury, drug induced', 'chemically-induced liver toxicity', 'chemically-induced liver toxicities', 'chemically induced liver toxicity', 'liver toxicities, chemically-induced', 'liver toxicity, chemically-induced', 'toxicities, chemically-induced liver', 'toxicity, chemically-induced liver']]"
