chemicals,chemical_ids,mapped_chemical_ids,mismatched_chemicals,actual_chemical_names
"['naloxone', 'clonidine', 'clonidine', 'nalozone', 'alpha-methyldopa', 'naloxone', 'naloxone', 'clonidine', '3h-naloxone', 'naloxone', 'clonidine', '3h-dihydroergocryptine', 'naloxone', 'clonidine', 'clonidine', 'alpha-methyldopa']","['D009270', 'D003000', 'D003000', '-1', 'D008750', 'D009270', 'D009270', 'D003000', '-1', 'D009270', 'D003000', '-1', 'D009270', 'D003000', 'D003000', 'D008750']","['D009270', 'D003000', 'D003000', '-1', 'D008750', 'D009270', 'D009270', 'D003000', '-1', 'D009270', 'D003000', '-1', 'D009270', 'D003000', 'D003000', 'D008750']","['nalozone', '3h-naloxone', '3h-dihydroergocryptine']","[['naloxone', 'naloxone', 'narcan', 'narcanti', 'naloxone hydrobromide', 'hydrobromide, naloxone', 'naloxone hydrochloride', 'hydrochloride, naloxone', 'naloxone hydrochloride dihydride', 'dihydride, naloxone hydrochloride', 'hydrochloride dihydride, naloxone', 'naloxone, (5 beta,9 alpha,13 alpha,14 alpha)-isomer', 'naloxone hydrochloride, (5 beta,9 alpha,13 alpha,14 alpha)-isomer', 'mrz-2593', 'mrz2593', 'mrz 2593', 'mrz 2593-br', 'mrz 2593br', 'mrz 2593 br', 'nalone', 'naloxon curamed', 'curamed, naloxon', 'naloxon-ratiopharm', 'naloxon ratiopharm', 'naloxone abello', 'abello, naloxone'], ['clonidine', 'clonidine', 'klofenil', 'clofenil', 'st-155', 'st155', 'st 155', 'm-5041t', 'm5041t', 'm 5041t', 'clonidine hydrochloride', 'hydrochloride, clonidine', 'clonidine monohydrochloride', 'monohydrochloride, clonidine', 'klofelin', 'clofelin', 'clopheline', 'isoglaucon', 'hemiton', 'gemiton', 'dixarit', 'chlophazolin', 'catapres', 'catapressan', 'catapresan', 'clonidine monohydrobromide', 'monohydrobromide, clonidine', 'clonidine dihydrochloride', 'dihydrochloride, clonidine'], ['clonidine', 'clonidine', 'klofenil', 'clofenil', 'st-155', 'st155', 'st 155', 'm-5041t', 'm5041t', 'm 5041t', 'clonidine hydrochloride', 'hydrochloride, clonidine', 'clonidine monohydrochloride', 'monohydrochloride, clonidine', 'klofelin', 'clofelin', 'clopheline', 'isoglaucon', 'hemiton', 'gemiton', 'dixarit', 'chlophazolin', 'catapres', 'catapressan', 'catapresan', 'clonidine monohydrobromide', 'monohydrobromide, clonidine', 'clonidine dihydrochloride', 'dihydrochloride, clonidine']]"
"['suxamethonium', 'suxamethonium chloride', 'sch', 'sch']","['D013390', 'D013390', 'D013390', 'D013390']","['D013390', 'D013390', '-1', '-1']","['sch', 'sch']","[['succinylcholine', 'succinylcholine', 'dicholine succinate', 'succinate, dicholine', 'succinyldicholine', 'suxamethonium', 'succinylcholine iodide', 'myorelaxin', 'suxamethonium bromide', 'bromide, suxamethonium', 'succinylcholine dichloride, di-h2o', 'succinylcholine dichloride, di h2o', 'succinylcholine dichloride', 'dichloride, succinylcholine', 'succinylcholine dibromide', 'dibromide, succinylcholine', 'succinylcholine diperchlorate', 'diperchlorate, succinylcholine', 'succinylcholine diiodide', 'diiodide, succinylcholine', 'ditilin', 'celocurine', 'succicuran', 'quelicin', 'lysthenon', 'suxamethonium chloride', 'succinylcholine chloride', 'listenon', 'anectine'], ['succinylcholine', 'succinylcholine', 'dicholine succinate', 'succinate, dicholine', 'succinyldicholine', 'suxamethonium', 'succinylcholine iodide', 'myorelaxin', 'suxamethonium bromide', 'bromide, suxamethonium', 'succinylcholine dichloride, di-h2o', 'succinylcholine dichloride, di h2o', 'succinylcholine dichloride', 'dichloride, succinylcholine', 'succinylcholine dibromide', 'dibromide, succinylcholine', 'succinylcholine diperchlorate', 'diperchlorate, succinylcholine', 'succinylcholine diiodide', 'diiodide, succinylcholine', 'ditilin', 'celocurine', 'succicuran', 'quelicin', 'lysthenon', 'suxamethonium chloride', 'succinylcholine chloride', 'listenon', 'anectine']]"
"['lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'lithium', 'li', 'lithium', 'creatinine', 'lithium', 'li', 'li']","['D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D003404', 'D008094', 'D008094', 'D008094']","['D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', 'D008094', '-1', 'D008094', 'D003404', 'D008094', '-1', '-1']","['li', 'li', 'li']","[['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['lithium', 'lithium', 'lithium-7', 'lithium 7'], ['lithium', 'lithium', 'lithium-7', 'lithium 7']]"
"['chloroacetaldehyde', 'cyclophosphamide', 'ifosfamide', 'chloroacetaldehyde', 'caa', 'caa', 'caa', 'caa', 'mesna']","['C004656', 'D003520', 'D007069', 'C004656', 'C004656', 'C004656', 'C004656', 'C004656', 'D015080']","['-1', 'D003520', 'D007069', '-1', '-1', '-1', '-1', '-1', 'D015080']","['chloroacetaldehyde', 'chloroacetaldehyde', 'caa', 'caa', 'caa', 'caa']","[['Unknown'], ['cyclophosphamide', 'cyclophosphamide', 'cytoxan', 'endoxan', 'neosar', 'procytox', 'sendoxan', 'cyclophosphamide, (s)-isomer', 'cyclophosphamide, (r)-isomer', 'nsc-26271', 'nsc26271', 'nsc 26271', 'b-518', 'b518', 'b 518', 'cytophosphan', 'cyclophosphamide anhydrous', 'cyclophosphane', 'cytophosphane', 'cyclophosphamide monohydrate', '(+,-)-2-(bis(2-chloroethyl)amino)tetrahydro-2h-1,3,2-oxazaphosphorine 2-oxide monohydrate'], ['ifosfamide', 'ifosfamide', 'iphosphamide', 'iso-endoxan', 'iso endoxan', 'isophosphamide', 'isofosfamide', 'nsc-109,724', 'nsc 109,724', 'nsc109,724', 'nsc-109724', 'nsc109724', 'nsc 109724', 'holoxan', 'asta z 4942'], ['Unknown'], ['Unknown'], ['Unknown']]"
"['clotiazepam', 'clotiazepam', 'thienodiazepine', 'clotiazepam', 'benzodiazepines', 'clotiazepam', 'clotiazepam', 'clotiazepam', 'benzodiazepines']","['C084599', 'C084599', 'C013295', 'C084599', 'D001569', 'C084599', 'C084599', 'C084599', 'D001569']","['-1', '-1', '-1', '-1', 'D001569', '-1', '-1', '-1', 'D001569']","['clotiazepam', 'clotiazepam', 'thienodiazepine', 'clotiazepam', 'clotiazepam', 'clotiazepam', 'clotiazepam']","[['Unknown'], ['Unknown'], ['Unknown'], ['Unknown'], ['benzodiazepines', 'benzodiazepines', 'benzodiazepine compounds', 'benzodiazepine'], ['Unknown'], ['Unknown']]"
"['angiotensin', 'captopril', 'tranexamic acid', 'amca', 'captopril', 'angiotensin', 'captopril', 'urea', 'captopril', 'amca', 'captopril', 'angiotension ii', 'prostacyclin', 'bradykinin', 'captopril']","['D000809', 'D002216', 'D014148', 'D014148', 'D002216', 'D000809', 'D002216', 'D014508', 'D002216', 'D014148', 'D002216', 'D000804', 'D011464', 'D001920', 'D002216']","['D000809', 'D002216', 'D014148', 'D014148', 'D002216', 'D000809', 'D002216', 'D014508', 'D002216', 'D014148', 'D002216', '-1', 'D011464', 'D001920', 'D002216']",['angiotension ii'],"[['angiotensins', 'angiotensins', 'angiotensin']]"
"['labetalol', 'nitroprusside', 'labetalol', 'nitroprusside', 'nitroprusside', 'labetalol', 'po2', 'labetalol', 'nitroprusside']","['D007741', 'D009599', 'D007741', 'D009599', 'D009599', 'D007741', 'C093415', 'D007741', 'D009599']","['D007741', 'D009599', 'D007741', 'D009599', 'D009599', 'D007741', '-1', 'D007741', 'D009599']",['po2'],"[['labetalol', 'labetalol', 'labetolol', 'trandate', 'normodyne', 'albetol', 'ah-5158', 'ah5158', 'ah 5158', 'dilevalol', 'r,r-labetalol', 'r,r labetalol', 'labetalol, (r,r)-isomer', 'labetalol hydrochloride', 'hydrochloride, labetalol', 'apo-labetalol', 'apolabetalol', 'apo labetalol', 'sch-19927', 'sch19927', 'sch 19927', 'presolol']]"
"['carbamazepine', 'folate', 'folate', 'carbamazepine', 'cbz', 'cbz', 'folate', 'propylene glycol', 'hexafluorodiethyl ether', 'hfde', 'cbz', 'cbz', 'hfde', 'cbz', 'cbz', 'folate', 'folate']","['D002220', 'D005492', 'D005492', 'D002220', 'D002220', 'D002220', 'D005492', 'D019946', 'D005481', 'D005481', 'D002220', 'D002220', 'D005481', 'D002220', 'D002220', 'D005492', 'D005492']","['D002220', 'D005492', 'D005492', 'D002220', '-1', '-1', 'D005492', 'D019946', '-1', '-1', '-1', '-1', '-1', '-1', '-1', 'D005492', 'D005492']","['cbz', 'cbz', 'hexafluorodiethyl ether', 'hfde', 'cbz', 'cbz', 'hfde', 'cbz', 'cbz']","[['carbamazepine', 'carbamazepine', 'tegretol', 'carbamazepine sulfate (2:1)', 'carbamazepine phosphate', 'carbamazepine hydrochloride', 'carbamazepine l-tartrate (4:1)', 'carbamazepine acetate', 'carbamazepine dihydrate', 'amizepine', 'carbazepin', 'epitol', 'finlepsin', 'neurotol', 'carbamazepine anhydrous'], ['folic acid', 'folic acid', 'pteroylglutamic acid', 'vitamin m', 'vitamin b9', 'b9, vitamin', 'folacin', 'folvite', 'folic acid, potassium salt', 'folic acid, monopotassium salt', 'folic acid, sodium salt', 'folic acid, monosodium salt', 'folic acid, (d)-isomer', 'folic acid, (dl)-isomer', 'folic acid, calcium salt (1:1)', 'folate'], ['folic acid', 'folic acid', 'pteroylglutamic acid', 'vitamin m', 'vitamin b9', 'b9, vitamin', 'folacin', 'folvite', 'folic acid, potassium salt', 'folic acid, monopotassium salt', 'folic acid, sodium salt', 'folic acid, monosodium salt', 'folic acid, (d)-isomer', 'folic acid, (dl)-isomer', 'folic acid, calcium salt (1:1)', 'folate'], ['carbamazepine', 'carbamazepine', 'tegretol', 'carbamazepine sulfate (2:1)', 'carbamazepine phosphate', 'carbamazepine hydrochloride', 'carbamazepine l-tartrate (4:1)', 'carbamazepine acetate', 'carbamazepine dihydrate', 'amizepine', 'carbazepin', 'epitol', 'finlepsin', 'neurotol', 'carbamazepine anhydrous'], ['carbamazepine', 'carbamazepine', 'tegretol', 'carbamazepine sulfate (2:1)', 'carbamazepine phosphate', 'carbamazepine hydrochloride', 'carbamazepine l-tartrate (4:1)', 'carbamazepine acetate', 'carbamazepine dihydrate', 'amizepine', 'carbazepin', 'epitol', 'finlepsin', 'neurotol', 'carbamazepine anhydrous'], ['carbamazepine', 'carbamazepine', 'tegretol', 'carbamazepine sulfate (2:1)', 'carbamazepine phosphate', 'carbamazepine hydrochloride', 'carbamazepine l-tartrate (4:1)', 'carbamazepine acetate', 'carbamazepine dihydrate', 'amizepine', 'carbazepin', 'epitol', 'finlepsin', 'neurotol', 'carbamazepine anhydrous'], ['folic acid', 'folic acid', 'pteroylglutamic acid', 'vitamin m', 'vitamin b9', 'b9, vitamin', 'folacin', 'folvite', 'folic acid, potassium salt', 'folic acid, monopotassium salt', 'folic acid, sodium salt', 'folic acid, monosodium salt', 'folic acid, (d)-isomer', 'folic acid, (dl)-isomer', 'folic acid, calcium salt (1:1)', 'folate'], ['propylene glycol', 'propylene glycol', 'glycol, propylene', '1,2-propanediol', '1,2 propanediol', 'propan-1,2-diol', 'propylene glycol, (r)-isomer', 'propylene glycol, (s)-isomer', 'propylene glycol, (+-)-isomer', 'propylene glycol sodium salt', 'propylene glycol monohydrate', 'monohydrate, propylene glycol'], ['flurothyl', 'flurothyl', 'fluorothyl', 'flurotyl', 'indoklon']]"
"['etoposide', 'methotrexate', 'cyclophosphamide', 'actomycin-d', 'cisplatin', 'methotrexate', 'etoposide', 'cyclophosphamide']","['D005047', 'D008727', 'D003520', 'D003609', 'D002945', 'D008727', 'D005047', 'D003520']","['D005047', 'D008727', 'D003520', '-1', 'D002945', 'D008727', 'D005047', 'D003520']",['actomycin-d'],"[['etoposide', 'etoposide', 'demethyl epipodophyllotoxin ethylidine glucoside', 'eposide', 'vepesid', 'etoposide, alpha-d-glucopyranosyl isomer', 'alpha-d-glucopyranosyl isomer etoposide', 'etoposide, alpha d glucopyranosyl isomer', 'etoposide, (5s)-isomer', 'etoposide, (5a alpha)-isomer', 'etoposide, (5a alpha,9 alpha)-isomer', 'nsc-141540', 'nsc141540', 'nsc 141540', 'vp 16-213', 'vp 16213', 'vp 16 213', 'vp-16', 'vp16', 'vp 16', 'celltop', 'eposin', 'toposar', 'etoposide teva', 'teva, etoposide', 'eto-gry', 'eto gry', 'etoposide pierre fabre', 'etoposido ferrer farma', 'etopos', 'exitop', 'lastet', 'onkoposid', 'riboposid', 'vépéside-sandoz', 'vépéside sandoz', 'etomedac']]"
"['dapsone', 'dapsone', 'glutathione', 'gsh', 'gsh', 'pentose phosphate', 'dapsone', 'dapsone', 'gsh', 'gsh', 'pentose phosphate', 'dapsone', 'dapsone']","['D003622', 'D003622', 'D005978', 'D005978', 'D005978', 'D010428', 'D003622', 'D003622', 'D005978', 'D005978', 'D010428', 'D003622', 'D003622']","['D003622', 'D003622', 'D005978', '-1', '-1', '-1', 'D003622', 'D003622', '-1', '-1', '-1', 'D003622', 'D003622']","['gsh', 'gsh', 'pentose phosphate', 'gsh', 'gsh', 'pentose phosphate']","[['dapsone', 'dapsone', ""4,4'-diaminophenyl sulfone"", ""4,4' diaminophenyl sulfone"", ""sulfone, 4,4'-diaminophenyl"", 'dadps', 'diaminodiphenylsulfone', 'diaphenylsulfone', 'sulfonyldianiline', 'disulone', 'avlosulfone', 'sulfona', 'dapson-fatol', 'dapsoderm-x'], ['dapsone', 'dapsone', ""4,4'-diaminophenyl sulfone"", ""4,4' diaminophenyl sulfone"", ""sulfone, 4,4'-diaminophenyl"", 'dadps', 'diaminodiphenylsulfone', 'diaphenylsulfone', 'sulfonyldianiline', 'disulone', 'avlosulfone', 'sulfona', 'dapson-fatol', 'dapsoderm-x'], ['glutathione', 'glutathione', 'gamma-l-glu-l-cys-gly', 'gamma l glu l cys gly', 'gamma-l-glutamyl-l-cysteinylglycine', 'gamma l glutamyl l cysteinylglycine', 'reduced glutathione', 'glutathione, reduced'], ['glutathione', 'glutathione', 'gamma-l-glu-l-cys-gly', 'gamma l glu l cys gly', 'gamma-l-glutamyl-l-cysteinylglycine', 'gamma l glutamyl l cysteinylglycine', 'reduced glutathione', 'glutathione, reduced'], ['glutathione', 'glutathione', 'gamma-l-glu-l-cys-gly', 'gamma l glu l cys gly', 'gamma-l-glutamyl-l-cysteinylglycine', 'gamma l glutamyl l cysteinylglycine', 'reduced glutathione', 'glutathione, reduced'], ['pentosephosphates', 'pentosephosphates']]"
